                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.3448,                 8.4889,                 3.8836,                      0,                      0,                      0,                      0,                 5.4141,                 6.4222,                 3.9438,             0.00046499,             0.00046499,             0.00046499
                      2,                 5.4689,                 6.0757,                 3.6729,                  7e-05,                0.00395,                  4e-05,                  1e-05,                 4.8728,                 4.8837,                 3.4585,             0.00093201,             0.00093201,             0.00093201
                      3,                 5.0818,                 5.1411,                 3.4066,                  8e-05,                0.00323,                  4e-05,                  1e-05,                 5.0783,                 5.6359,                 8.2173,              0.0013896,              0.0013896,              0.0013896
                      4,                 4.8064,                 4.4876,                 3.2393,                0.00014,                0.00359,                  7e-05,                  1e-05,                 4.8765,                 5.5291,                 3.4307,              0.0013866,              0.0013866,              0.0013866
                      5,                 4.8202,                 4.2201,                 3.0099,                  7e-05,                0.00323,                  3e-05,                  1e-05,                 4.7861,                 4.3914,                  3.311,              0.0013866,              0.0013866,              0.0013866
                      6,                  4.838,                 4.2256,                 2.9567,                  3e-05,                0.00179,                  2e-05,                  1e-05,                 4.6821,                 1449.2,                 13.788,              0.0013724,              0.0013724,              0.0013724
                      7,                 4.7336,                 4.1363,                 2.9083,                0.00012,                0.00718,                  6e-05,                  2e-05,                 4.7149,                 4.2468,                 3.0309,              0.0013583,              0.0013583,              0.0013583
                      8,                 4.7861,                 4.1912,                 2.8193,                0.00012,                0.00718,                  6e-05,                  2e-05,                 4.8291,                 4.2136,                 3.0384,              0.0013441,              0.0013441,              0.0013441
                      9,                 4.7393,                 4.1454,                 2.7675,                  7e-05,                0.00395,                  3e-05,                  1e-05,                 4.6965,                 4.1373,                 2.8177,                0.00133,                0.00133,                0.00133
                     10,                 4.7766,                 4.2518,                 2.6759,                  7e-05,                0.00395,                  3e-05,                  1e-05,                 4.6784,                 4.1609,                 2.7495,              0.0013158,              0.0013158,              0.0013158
                     11,                 4.7499,                 4.2346,                 2.6212,                  7e-05,                0.00395,                  3e-05,                  1e-05,                 4.7278,                 4.1592,                 2.9637,              0.0013017,              0.0013017,              0.0013017
                     12,                 4.7217,                  4.284,                 2.6185,                0.00234,                0.00113,                0.00117,                0.00035,                 4.6347,                 4.1294,                 2.9319,              0.0012875,              0.0012875,              0.0012875
                     13,                 4.6242,                  4.031,                 2.4017,                 0.0064,                0.01846,                0.00494,                  0.001,                 4.5452,                 4.0375,                 2.4392,              0.0012734,              0.0012734,              0.0012734
