                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.4221,                 9.3562,                 4.0031,                      0,                      0,                      0,                      0,                 5.4789,                 7.1196,                 4.0477,             0.00046499,             0.00046499,             0.00046499
                      2,                 5.2899,                 6.7058,                   3.72,                  3e-05,                0.00072,                  2e-05,                      0,                 4.8316,                 5.0323,                 3.4003,             0.00093201,             0.00093201,             0.00093201
                      3,                 4.9678,                 5.9097,                 3.4019,                  2e-05,                0.00072,                  1e-05,                      0,                  4.895,                 5.4059,                 3.5711,              0.0013896,              0.0013896,              0.0013896
                      4,                 4.8189,                 4.9858,                 3.2533,                  5e-05,                0.00144,                  2e-05,                  1e-05,                 4.7874,                 8.3304,                 3.3393,              0.0013866,              0.0013866,              0.0013866
                      5,                  4.834,                 4.6342,                 3.0755,                0.00013,                0.00538,                  7e-05,                  1e-05,                 4.7971,                 4.5354,                  3.276,              0.0013866,              0.0013866,              0.0013866
                      6,                 4.7793,                 4.3167,                 2.9309,                 0.0028,                   0.02,                0.00641,                0.00137,                 4.6659,                 4.1579,                 3.0507,              0.0013724,              0.0013724,              0.0013724
                      7,                 4.4867,                 3.5812,                 2.5536,                0.44021,                0.02608,                 0.0179,                0.00396,                 4.5623,                  4.016,                 2.4789,              0.0013583,              0.0013583,              0.0013583
                      8,                 4.0975,                 3.0483,                 2.1038,                 0.4977,                0.15105,                 0.0773,                 0.0157,                 4.0747,                 3.0535,                 2.1911,              0.0013441,              0.0013441,              0.0013441
                      9,                 3.8138,                 2.7781,                 1.9903,                0.25286,                0.16551,                0.18007,                0.06256,                 3.6183,                 15.816,                 2.0064,                0.00133,                0.00133,                0.00133
                     10,                 3.6383,                 2.6149,                 1.8473,                0.38239,                0.27275,                0.27665,                0.08866,                 3.2718,                 2.4163,                 1.8268,              0.0013158,              0.0013158,              0.0013158
                     11,                 3.5941,                 2.5583,                 1.8478,                0.35881,                0.27259,                0.25061,                0.07038,                 3.3308,                 2.3071,                 1.8364,              0.0013017,              0.0013017,              0.0013017
                     12,                 3.2347,                 2.2736,                 1.7227,                0.32648,                0.18225,                0.21044,                0.08428,                 3.5257,                 4.8278,                 1.9884,              0.0012875,              0.0012875,              0.0012875
                     13,                 3.2088,                 2.1785,                 1.6865,                0.40433,                0.31277,                0.31167,                0.10285,                 3.0139,                 2.0483,                 1.7159,              0.0012734,              0.0012734,              0.0012734
                     14,                 3.0969,                 2.1627,                 1.6534,                0.40312,                0.27613,                0.27777,                0.10304,                 3.0368,                 2.0091,                   1.74,              0.0012592,              0.0012592,              0.0012592
                     15,                 3.0008,                  2.073,                 1.6005,                0.39239,                0.22776,                0.21989,                0.07964,                  3.353,                 2.7207,                  1.829,              0.0012451,              0.0012451,              0.0012451
                     16,                 3.0432,                 2.1042,                 1.6037,                0.42415,                0.32936,                0.32401,                0.12381,                 2.7864,                 1.9236,                 1.6237,              0.0012309,              0.0012309,              0.0012309
                     17,                 2.9956,                 2.0866,                 1.5951,                0.42215,                0.34554,                0.32983,                0.12365,                 2.7647,                 1.8697,                 1.5947,              0.0012168,              0.0012168,              0.0012168
                     18,                 2.9059,                 2.0012,                 1.5725,                0.43035,                0.34808,                 0.3344,                0.12269,                 2.7176,                 1.8272,                 1.5673,              0.0012026,              0.0012026,              0.0012026
                     19,                 2.8587,                 1.9726,                 1.5263,                0.45373,                0.33121,                  0.338,                0.12793,                 2.6997,                 1.8496,                 1.5547,              0.0011885,              0.0011885,              0.0011885
                     20,                 2.8442,                 1.9354,                  1.517,                 0.4058,                0.34345,                0.34578,                 0.1307,                 2.6494,                 1.8717,                 1.5016,              0.0011744,              0.0011744,              0.0011744
                     21,                 2.7858,                   1.98,                 1.4883,                0.44693,                0.38083,                0.36003,                  0.145,                 2.5864,                 1.8606,                 1.5157,              0.0011602,              0.0011602,              0.0011602
                     22,                 2.8145,                 1.9619,                 1.5051,                0.39822,                 0.3426,                0.31481,                0.09995,                 2.7358,                 1.9006,                 1.4828,              0.0011461,              0.0011461,              0.0011461
                     23,                 2.6968,                 1.8976,                 1.4404,                0.44155,                0.36101,                0.35701,                0.13567,                  2.597,                 1.8014,                 1.4789,              0.0011319,              0.0011319,              0.0011319
                     24,                 2.6963,                 1.8707,                 1.4588,                0.79389,                0.29141,                0.31953,                0.12274,                 2.6929,                 1.9397,                 1.5084,              0.0011178,              0.0011178,              0.0011178
                     25,                 2.7149,                 1.8767,                 1.4839,                 0.4756,                0.35353,                0.36592,                0.14663,                 2.5111,                 1.7576,                 1.4585,              0.0011036,              0.0011036,              0.0011036
                     26,                 2.6548,                 1.8331,                 1.3992,                0.43505,                0.40751,                0.38511,                  0.153,                 2.4923,                 1.7194,                   1.44,              0.0010895,              0.0010895,              0.0010895
                     27,                 2.6462,                 1.8123,                 1.4201,                0.45574,                0.40295,                0.39259,                0.15639,                 2.4783,                 1.7111,                 1.4413,              0.0010753,              0.0010753,              0.0010753
                     28,                 2.5855,                 1.8186,                 1.4296,                0.46783,                0.38549,                0.40479,                0.17066,                 2.4642,                 1.8337,                  1.405,              0.0010612,              0.0010612,              0.0010612
                     29,                 2.6164,                 1.8393,                 1.4486,                0.46776,                0.40506,                0.39651,                0.16314,                 2.4386,                 1.6461,                 1.3988,               0.001047,               0.001047,               0.001047
                     30,                 2.5981,                 1.8032,                 1.4151,                0.46537,                0.40056,                 0.3842,                0.15288,                 2.4442,                  1.694,                 1.4091,              0.0010329,              0.0010329,              0.0010329
                     31,                 2.5799,                 1.7901,                 1.4265,                0.49061,                0.40797,                0.38976,                0.15626,                 2.4531,                 1.6984,                 1.4163,              0.0010187,              0.0010187,              0.0010187
                     32,                  2.548,                 1.7774,                 1.3797,                0.44844,                0.38007,                0.37739,                0.14495,                 2.4492,                 1.6848,                 1.3848,              0.0010046,              0.0010046,              0.0010046
                     33,                 2.5475,                 1.7674,                 1.3828,                  0.481,                 0.4163,                0.40155,                0.17244,                 2.3598,                 1.7216,                 1.3726,             0.00099044,             0.00099044,             0.00099044
                     34,                 2.4896,                 1.7724,                  1.387,                0.48988,                0.40198,                0.39086,                0.16534,                 2.4138,                 1.7085,                  1.401,             0.00097629,             0.00097629,             0.00097629
                     35,                  2.486,                 1.7552,                 1.3616,                0.46044,                0.41932,                0.40147,                0.17012,                 2.3662,                 1.6261,                 1.3802,             0.00096215,             0.00096215,             0.00096215
                     36,                 2.5107,                 1.7751,                 1.3465,                0.47843,                0.41147,                0.41813,                0.17988,                 2.3166,                 1.6047,                 1.3357,               0.000948,               0.000948,               0.000948
                     37,                 2.5027,                 1.7636,                 1.3442,                0.50664,                0.38502,                0.39801,                0.16776,                 2.3893,                 1.6607,                 1.3623,             0.00093385,             0.00093385,             0.00093385
                     38,                 2.4534,                 1.7826,                 1.3929,                0.48164,                0.41325,                 0.4124,                0.17249,                 2.3541,                 1.6155,                 1.3378,              0.0009197,              0.0009197,              0.0009197
                     39,                 2.4307,                 1.6839,                 1.3229,                0.49895,                0.41588,                0.41652,                 0.1796,                 2.3152,                 1.5955,                 1.3213,             0.00090556,             0.00090556,             0.00090556
                     40,                 2.4107,                 1.6914,                 1.2915,                0.52311,                 0.4037,                0.42277,                0.17836,                 2.3187,                 1.6167,                 1.3225,             0.00089141,             0.00089141,             0.00089141
                     41,                 2.5301,                 1.7722,                 1.3234,                0.47284,                0.41232,                0.40002,                0.16234,                 2.3683,                  1.637,                 1.3146,             0.00087726,             0.00087726,             0.00087726
                     42,                 2.4767,                 1.7279,                 1.3122,                0.54146,                0.38508,                0.40844,                0.17659,                 2.3163,                 1.5819,                 1.3023,             0.00086312,             0.00086312,             0.00086312
                     43,                 2.4437,                 1.6878,                 1.2845,                0.51964,                0.41206,                0.42808,                0.18076,                 2.3152,                 1.5856,                 1.2876,             0.00084897,             0.00084897,             0.00084897
                     44,                 2.4756,                 1.7221,                 1.2938,                0.49126,                0.40758,                0.41486,                0.17758,                 2.3059,                 1.6199,                 1.2831,             0.00083482,             0.00083482,             0.00083482
                     45,                  2.421,                 1.7032,                 1.2991,                0.48328,                0.42343,                0.41672,                0.18121,                 2.2617,                 1.5702,                 1.2888,             0.00082067,             0.00082067,             0.00082067
                     46,                 2.4631,                 1.7488,                 1.3214,                0.51749,                0.39845,                0.40492,                0.17016,                 2.2903,                 1.6083,                 1.2872,             0.00080653,             0.00080653,             0.00080653
                     47,                 2.4043,                 1.6988,                 1.2746,                0.52394,                0.37411,                0.39065,                0.15868,                 2.3685,                 1.7112,                 1.3032,             0.00079238,             0.00079238,             0.00079238
                     48,                 2.4045,                 1.7164,                 1.2932,                0.48289,                 0.3991,                0.40938,                 0.1727,                 2.3042,                 1.6052,                  1.283,             0.00077823,             0.00077823,             0.00077823
                     49,                 2.3628,                 1.6585,                  1.261,                0.48855,                0.42159,                0.41547,                0.18732,                 2.2341,                 1.5588,                 1.2495,             0.00076409,             0.00076409,             0.00076409
                     50,                 2.3558,                 1.6692,                 1.2667,                0.52899,                0.40963,                0.42821,                0.18918,                 2.2389,                 1.5386,                 1.2646,             0.00074994,             0.00074994,             0.00074994
                     51,                 2.3962,                  1.696,                 1.2808,                0.51052,                0.41783,                0.42609,                0.18873,                 2.2035,                 1.5381,                 1.2609,             0.00073579,             0.00073579,             0.00073579
                     52,                 2.3495,                 1.6769,                 1.2817,                0.52318,                0.42353,                0.44052,                0.19327,                 2.2173,                 1.5497,                 1.2567,             0.00072164,             0.00072164,             0.00072164
                     53,                 2.3456,                 1.6619,                 1.2657,                0.55723,                0.42436,                0.45291,                0.20824,                 2.1722,                  1.477,                 1.2482,              0.0007075,              0.0007075,              0.0007075
                     54,                  2.353,                 1.6723,                   1.26,                0.54676,                0.41697,                0.44515,                 0.1917,                 2.2177,                 1.5076,                 1.2252,             0.00069335,             0.00069335,             0.00069335
                     55,                 2.2842,                 1.5961,                  1.229,                0.54774,                0.42624,                0.44708,                0.20027,                 2.1628,                  1.513,                 1.2306,              0.0006792,              0.0006792,              0.0006792
                     56,                 2.3027,                 1.6018,                 1.2305,                0.54016,                0.42904,                0.45161,                 0.2029,                 2.1473,                 1.4872,                 1.2242,             0.00066506,             0.00066506,             0.00066506
                     57,                 2.3064,                 1.6476,                 1.2578,                0.52462,                0.40855,                0.43181,                0.18502,                 2.2111,                 1.5473,                 1.2289,             0.00065091,             0.00065091,             0.00065091
                     58,                 2.2865,                 1.6153,                 1.2215,                 0.5296,                 0.4441,                0.46286,                0.20601,                 2.1717,                  1.497,                 1.2099,             0.00063676,             0.00063676,             0.00063676
                     59,                 2.2657,                 1.5862,                 1.2182,                0.54111,                0.41532,                0.44902,                 0.1906,                 2.2411,                  1.546,                   1.24,             0.00062262,             0.00062262,             0.00062262
                     60,                 2.2873,                 1.5926,                  1.229,                0.49178,                0.43701,                 0.4491,                0.19789,                 2.1728,                 1.5406,                 1.1985,             0.00060847,             0.00060847,             0.00060847
                     61,                 2.2368,                 1.5607,                 1.2067,                0.59095,                0.40828,                0.45205,                0.20222,                 2.1736,                 1.5149,                 1.2271,             0.00059432,             0.00059432,             0.00059432
                     62,                 2.3008,                 1.6283,                 1.2468,                0.51085,                0.44446,                0.46353,                0.19786,                 2.1746,                 1.5118,                 1.2179,             0.00058017,             0.00058017,             0.00058017
                     63,                 2.2301,                 1.5462,                 1.2078,                0.60166,                0.40485,                0.45825,                0.20252,                 2.1298,                 1.4653,                 1.1946,             0.00056603,             0.00056603,             0.00056603
                     64,                 2.2239,                 1.5927,                 1.2168,                0.55815,                0.42392,                0.46714,                0.20895,                 2.1296,                 1.4574,                  1.189,             0.00055188,             0.00055188,             0.00055188
